Moneyness,Price % Vanilla Call
1.126,0.238340711
1.128,0.239835911
1.13,0.24133436
1.132,0.242836179
1.134,0.244341201
1.136,0.245849558
1.138,0.247361084
1.14,0.248875899
1.142,0.250393852
1.144,0.251915053
1.146,0.253439356
1.148,0.254966869
1.15,0.256497447
1.152,0.258031197
1.154,0.259567974
1.156,0.261107903
1.158,0.262650964
1.16,0.264197131
1.162,0.265746241
1.164,0.267298428
1.166,0.268853522
1.168,0.270411647
1.17,0.27197265
1.172,0.273536637
1.174,0.275103484
1.176,0.276673266
1.178,0.278245889
1.18,0.279821384
1.182,0.281399708
1.184,0.282980854
1.186,0.284564816
1.188,0.28615153
1.19,0.287741062
1.192,0.289333282
1.194,0.290928303
1.196,0.292525965
1.198,0.29412638
1.2,0.295729441
1.202,0.297335185
1.204,0.298943577
1.206,0.30055458
1.208,0.302168237
1.21,0.303784429
1.212,0.30540327
1.214,0.307024599
1.216,0.30864853
1.218,0.310274961
1.22,0.31190391
1.222,0.313535386
1.224,0.31516928
1.226,0.316805709
1.228,0.318444645
1.23,0.32008607
1.232,0.32172992
1.234,0.323376138
1.236,0.325024796
1.238,0.326675743
1.24,0.328329098
1.242,0.329984776
1.244,0.331642754
1.246,0.333303094
1.248,0.334965641
1.25,0.336630519
1.252,0.338297647
1.254,0.339966993
1.256,0.341638622
1.258,0.343312394
1.26,0.344988401
1.262,0.346666609
1.264,0.348346931
1.266,0.350029461
1.268,0.351714096
1.27,0.353400853
1.272,0.355089774
1.274,0.356780707
1.276,0.358473763
1.278,0.360168907
1.28,0.361866042
1.282,0.363565264
1.284,0.365266497
1.286,0.366969708
1.288,0.368674966
1.29,0.370382167
1.292,0.372091334
1.294,0.373802503
1.296,0.375515545
1.298,0.37723053
1.3,0.378947485
1.302,0.380666255
1.304,0.382386941
1.306,0.384109547
1.308,0.385833929
1.31,0.387560193
1.312,0.389288333
1.314,0.391018347
1.316,0.392750207
1.318,0.394483906
1.32,0.396219304
1.322,0.397956496
1.324,0.399695499
1.326,0.401436162
1.328,0.403178584
1.33,0.404922762
1.332,0.406668594
1.334,0.408416117
1.336,0.410165363
1.338,0.411916251
1.34,0.413668769
1.342,0.415422966
1.344,0.417178817
1.346,0.418936208
1.348,0.420695258
1.35,0.422455941
1.352,0.424218123
1.354,0.425981911
1.356,0.427747292
1.358,0.429514196
1.36,0.431282613
1.362,0.433052591
1.364,0.434824116
1.366,0.436597061
1.368,0.438371531
1.37,0.440147518
1.372,0.441924948
1.374,0.443703812
1.376,0.445484158
1.378,0.447265976
1.38,0.449049144
1.382,0.450833742
1.384,0.452619786
1.386,0.454407245
1.388,0.456196006
1.39,0.457986176
1.392,0.459777742
1.394,0.461570653
1.396,0.463364853
1.398,0.465160419
