Moneyness,American UP&OUT Price % Rebate = 5%,American UP&OUT Delta % Rebate = 5%,American UP&OUT Vega Rebate = 5%
1.3000,0.0463,0.0000,0.0000
1.3020,0.0463,0.0000,0.0000
1.3040,0.0463,0.0000,0.0000
1.3060,0.0463,0.0000,0.0000
1.3080,0.0463,0.0000,0.0000
1.3100,0.0463,0.0000,0.0000
1.3120,0.0463,0.0000,0.0000
1.3140,0.0463,0.0000,0.0000
1.3160,0.0463,0.0000,0.0000
1.3180,0.0463,0.0000,0.0000
1.3200,0.0463,0.0000,0.0000
1.3220,0.0463,0.0000,0.0000
1.3240,0.0463,0.0000,0.0000
1.3260,0.0463,0.0000,0.0000
1.3280,0.0463,0.0000,0.0000
1.3300,0.0463,0.0000,0.0000
1.3320,0.0463,0.0000,0.0000
1.3340,0.0463,0.0000,0.0000
1.3360,0.0463,0.0000,0.0000
1.3380,0.0463,0.0000,0.0000
1.3400,0.0463,0.0000,0.0000
1.3420,0.0463,0.0000,0.0000
1.3440,0.0463,0.0000,0.0000
1.3460,0.0463,0.0000,0.0000
1.3480,0.0463,0.0000,0.0000
1.3500,0.0463,0.0000,0.0000
1.3520,0.0463,0.0000,0.0000
1.3540,0.0463,0.0000,0.0000
1.3560,0.0463,0.0000,0.0000
1.3580,0.0463,0.0000,0.0000
1.3600,0.0463,0.0000,0.0000
1.3620,0.0463,0.0000,0.0000
1.3640,0.0463,0.0000,0.0000
1.3660,0.0463,0.0000,0.0000
1.3680,0.0463,0.0000,0.0000
1.3700,0.0463,0.0000,0.0000
1.3720,0.0463,0.0000,0.0000
1.3740,0.0463,0.0000,0.0000
1.3760,0.0463,0.0000,0.0000
1.3780,0.0463,0.0000,0.0000
1.3800,0.0463,0.0000,0.0000
1.3820,0.0463,0.0000,0.0000
1.3840,0.0463,0.0000,0.0000
1.3860,0.0463,0.0000,0.0000
1.3880,0.0463,0.0000,0.0000
1.3900,0.0463,0.0000,0.0000
1.3920,0.0463,0.0000,0.0000
1.3940,0.0463,0.0000,0.0000
1.3960,0.0463,0.0000,0.0000
1.3980,0.0463,0.0000,0.0000
