Moneyness,Price %,Delta %,Vega
1.33,0.042022197,-0.099867657,0.3
1.33,0.041859046,-0.099983382,0.31
1.33,0.041695826,-0.099973147,0.32
1.33,0.041509174,-0.100229247,0.33
1.33,0.041368417,-0.100346919,0.34
1.34,0.041157987,-0.100492115,0.35
1.34,0.041039902,-0.100610912,0.37
1.34,0.040851995,-0.100629878,0.38
1.34,0.040710039,-0.100749401,0.39
1.34,0.040544698,-0.1008987,0.4
1.35,0.040379037,-0.10088974,0.41
1.35,0.040189842,-0.1008967,0.42
1.35,0.040023602,-0.101049281,0.43
1.35,0.039857024,-0.101186939,0.44
1.35,0.039689879,-0.101178295,0.45
1.36,0.039522309,-0.101333562,0.46
1.36,0.039377589,-0.101472382,0.47
1.36,0.039209301,-0.101480553,0.48
1.36,0.039063693,-0.101506447,0.49
1.36,0.038894649,-0.101646381,0.5
1.37,0.038748362,-0.101805495,0.51
1.37,0.038555301,-0.101681198,0.52
1.37,0.038408068,-0.101689574,0.53
1.37,0.03823744,-0.10185081,0.54
1.37,0.038066336,-0.101745414,0.55
1.38,0.037917835,-0.101907985,0.56
1.38,0.037745835,-0.10189578,0.57
1.38,0.037573539,-0.101944643,0.57
1.38,0.037400756,-0.101952439,0.59
1.38,0.037250533,-0.102002433,0.59
1.39,0.037099984,-0.102009216,0.61
1.39,0.036972086,-0.102173973,0.61
1.39,0.036774491,-0.10204436,0.62
1.39,0.03662264,-0.102209088,0.63
1.39,0.036470473,-0.102100476,0.64
1.4,0.036294687,-0.102015319,0.65
1.4,0.036164602,-0.102182006,0.66
