Moneyness,European UP&OUT Price % Rebate = 5%,European UP&OUT Delta % Rebate = 5%,European UP&OUT Vega Rebate = 5%
1.028000,0.043000,0.428374,-1.130324
1.030000,0.043100,0.426519,-1.140110
1.032000,0.043300,0.424652,-1.149806
1.034000,0.043400,0.422946,-1.160129
1.036000,0.043600,0.421050,-1.169633
1.038000,0.043800,0.419484,-1.180500
1.040000,0.043900,0.417385,-1.189077
1.042000,0.044100,0.415614,-1.199021
1.044000,0.044200,0.413490,-1.207381
1.046000,0.044400,0.411853,-1.217877
1.048000,0.044600,0.409866,-1.226775
1.050000,0.044700,0.407867,-1.235569
1.052000,0.044900,0.406013,-1.245015
1.054000,0.045000,0.403827,-1.252831
1.056000,0.045200,0.401941,-1.262070
1.058000,0.045300,0.399731,-1.269656
1.060000,0.045500,0.397660,-1.277900
1.062000,0.045600,0.395574,-1.286028
1.064000,0.045800,0.393623,-1.294828
1.066000,0.045900,0.391507,-1.302732
1.068000,0.046100,0.389235,-1.309731
1.070000,0.046200,0.387094,-1.317401
1.072000,0.046300,0.384940,-1.324955
1.074000,0.046500,0.382774,-1.332390
1.076000,0.046600,0.380593,-1.339708
1.078000,0.046800,0.378400,-1.346905
1.080000,0.046900,0.376193,-1.353982
1.082000,0.047100,0.373974,-1.360940
1.084000,0.047200,0.371741,-1.367778
1.086000,0.047300,0.369367,-1.373678
1.088000,0.047500,0.367111,-1.380269
1.090000,0.047600,0.364842,-1.386736
1.092000,0.047700,0.362561,-1.393079
1.094000,0.047900,0.360267,-1.399294
1.096000,0.048000,0.357843,-1.404554
1.098000,0.048100,0.355644,-1.411346
1.100000,0.048300,0.353201,-1.416345
1.102000,0.048400,0.350862,-1.422048
1.104000,0.048500,0.348401,-1.426780
1.106000,0.048600,0.346041,-1.432223
1.108000,0.048800,0.343670,-1.437532
1.110000,0.048900,0.341290,-1.442714
1.112000,0.049000,0.338897,-1.447760
1.114000,0.049100,0.336393,-1.451825
1.116000,0.049200,0.333881,-1.455748
1.118000,0.049400,0.331361,-1.459531
1.120000,0.049500,0.328931,-1.464033
1.122000,0.049600,0.326491,-1.468398
1.124000,0.049700,0.323950,-1.471772
1.126000,0.049800,0.321585,-1.476727
1.128000,0.049900,0.319029,-1.479826
1.130000,0.050100,0.316555,-1.483647
1.132000,0.050200,0.313987,-1.486468
1.134000,0.050300,0.311499,-1.490015
1.136000,0.050400,0.309002,-1.493424
1.138000,0.050500,0.306418,-1.495828
1.140000,0.050600,0.303986,-1.499832
1.142000,0.050700,0.301389,-1.501960
1.144000,0.050800,0.298864,-1.504821
1.146000,0.050900,0.296259,-1.506668
1.148000,0.051000,0.293722,-1.509250
1.150000,0.051100,0.291179,-1.511690
1.152000,0.051200,0.288631,-1.513993
1.154000,0.051300,0.286077,-1.516155
1.156000,0.051400,0.283453,-1.517301
1.158000,0.051500,0.280891,-1.519182
1.160000,0.051600,0.278323,-1.520923
1.162000,0.051700,0.275692,-1.521647
1.164000,0.051800,0.273118,-1.523106
1.166000,0.051900,0.270541,-1.524428
1.168000,0.052000,0.268013,-1.526486
1.170000,0.052100,0.265375,-1.526647
1.172000,0.052200,0.262786,-1.527543
1.174000,0.052300,0.260144,-1.527413
1.176000,0.052400,0.257552,-1.528023
1.178000,0.052400,0.254910,-1.527612
1.180000,0.052500,0.252360,-1.528824
1.182000,0.052600,0.249761,-1.529012
1.184000,0.052700,0.247162,-1.529065
1.186000,0.052800,0.244562,-1.528975
1.188000,0.052900,0.241962,-1.528749
1.190000,0.052900,0.239362,-1.528382
1.192000,0.053000,0.236761,-1.527877
1.194000,0.053100,0.234162,-1.527234
1.196000,0.053200,0.231563,-1.526452
1.198000,0.053300,0.228966,-1.525534
1.200000,0.053300,0.226396,-1.525354
1.202000,0.053400,0.223801,-1.524161
1.204000,0.053500,0.221231,-1.523706
1.206000,0.053600,0.218615,-1.521366
1.208000,0.053600,0.216046,-1.520642
1.210000,0.053700,0.213438,-1.518033
1.212000,0.053800,0.210873,-1.517037
1.214000,0.053900,0.208306,-1.515903
1.216000,0.053900,0.205729,-1.513767
1.218000,0.054000,0.203166,-1.512364
1.220000,0.054000,0.200596,-1.509960
1.222000,0.054100,0.198040,-1.508290
1.224000,0.054200,0.195471,-1.504756
1.226000,0.054300,0.192929,-1.503687
1.228000,0.054300,0.190377,-1.500757
1.230000,0.054400,0.187832,-1.497690
1.232000,0.054400,0.185293,-1.494490
1.234000,0.054500,0.182761,-1.492026
1.236000,0.054500,0.180232,-1.489427
1.238000,0.054600,0.177709,-1.486704
1.240000,0.054700,0.175190,-1.483848
1.242000,0.054700,0.172685,-1.480014
1.244000,0.054800,0.170170,-1.477758
1.246000,0.054800,0.167680,-1.473674
1.248000,0.054900,0.165187,-1.470315
1.250000,0.054900,0.162701,-1.466831
1.252000,0.055000,0.160222,-1.463225
1.254000,0.055000,0.157751,-1.459493
1.256000,0.055100,0.155269,-1.456483
1.258000,0.055100,0.152833,-1.451667
1.260000,0.055200,0.150387,-1.447575
1.262000,0.055200,0.147925,-1.444195
1.264000,0.055300,0.145496,-1.439863
1.266000,0.055300,0.143049,-1.436241
1.268000,0.055300,0.140666,-1.430844
1.270000,0.055400,0.138237,-1.426987
1.272000,0.055500,0.135815,-1.423012
1.274000,0.055500,0.133400,-1.418918
1.276000,0.055500,0.131030,-1.413888
1.278000,0.055600,0.128670,-1.408746
1.280000,0.055600,0.126285,-1.404309
1.282000,0.055700,0.123910,-1.399758
1.284000,0.055700,0.121584,-1.394284
1.286000,0.055800,0.119186,-1.390319
1.288000,0.055800,0.116882,-1.384626
1.290000,0.055800,0.114636,-1.378022
1.292000,0.055800,0.112315,-1.372912
1.294000,0.055900,0.109955,-1.368495
1.296000,0.055900,0.107704,-1.362375
1.298000,0.055900,0.105366,-1.357741
1.300000,0.055900,0.103143,-1.351417
1.302000,0.056000,0.100826,-1.346571
1.304000,0.056000,0.098576,-1.340831
1.306000,0.056100,0.096281,-1.335775
1.308000,0.056100,0.094116,-1.329055
1.310000,0.056100,0.091847,-1.323796
1.312000,0.056100,0.089651,-1.317659
1.314000,0.056200,0.087406,-1.312198
1.316000,0.056200,0.085239,-1.305869
1.318000,0.056200,0.083020,-1.300212
1.320000,0.056200,0.080882,-1.293695
1.322000,0.056300,0.078691,-1.287848
1.324000,0.056300,0.076584,-1.281149
1.326000,0.056300,0.074348,-1.275863
1.328000,0.056300,0.072273,-1.268985
1.330000,0.056400,0.070139,-1.262767
1.332000,0.056400,0.068097,-1.255718
1.334000,0.056400,0.065915,-1.250060
1.336000,0.056400,0.063907,-1.242842
1.338000,0.056400,0.061753,-1.237003
1.340000,0.056400,0.059780,-1.229623
1.342000,0.056500,0.057656,-1.223609
1.344000,0.056500,0.055632,-1.216787
1.346000,0.056500,0.053537,-1.210600
1.348000,0.056500,0.051546,-1.203617
1.350000,0.056500,0.049573,-1.196557
1.352000,0.056600,0.047617,-1.189420
1.354000,0.056600,0.045680,-1.182206
1.356000,0.056600,0.043666,-1.175606
1.358000,0.056600,0.041667,-1.168925
1.360000,0.056600,0.039783,-1.161484
1.362000,0.056600,0.037819,-1.154654
1.364000,0.056600,0.035872,-1.147751
1.366000,0.056600,0.033941,-1.140770
1.368000,0.056600,0.032133,-1.133055
1.370000,0.056700,0.030240,-1.125937
1.372000,0.056700,0.028364,-1.118754
1.374000,0.056600,0.026616,-1.110843
1.376000,0.056700,0.024669,-1.104185
1.378000,0.056700,0.022850,-1.096801
1.380000,0.056700,0.020936,-1.090000
1.382000,0.056700,0.019269,-1.081850
1.384000,0.056700,0.017393,-1.074920
1.386000,0.056700,0.015652,-1.067293
1.388000,0.056700,0.013691,-1.060858
1.390000,0.056700,0.012107,-1.052487
1.392000,0.056700,0.010302,-1.045302
1.394000,0.056700,0.008515,-1.038060
1.396000,0.056700,0.006996,-1.029536
1.398000,0.056700,0.005123,-1.022789
